repo_name,repo_stars,repo_forks,repo_created,repo_updated,repo_description,repo_issues,repo_pulls,repo_commits,repo_contributors,repo_size,repo_languages,repo_primary_language
DA0-DA0/dao-dao-ui,33,31,2021-10-15T22:08:42+00:00,2026-04-29T21:21:04+00:00,InterChain DAO tooling UI.,1,1218.0,3289,33,52637,TypeScript: 26987646; JavaScript: 72281; CSS: 20184; Dockerfile: 1407; Shell: 462,TypeScript
PostHog/posthog-foss,490,97,2020-08-11T13:26:26+00:00,2026-05-05T13:14:07+00:00,"PostHog FOSS is a read-only mirror of PostHog, with all proprietary code removed. NOTE: This repo is synced automatically from the main PostHog repo. Please raise any issues and PRs there.",0,,41818,400,3264320,Python: 69126204; TypeScript: 54203062; Rust: 9404707; JavaScript: 752681; Go: 656056; HTML: 458506; SCSS: 444721; Shell: 268837; CSS: 157272; C++: 144043; HCL: 75828; ANTLR: 38251; Perl: 35898; MDX: 32115; Dockerfile: 20703; Jinja: 16116; PLpgSQL: 9521; EJS: 4869; Makefile: 3687; CMake: 3397; Smarty: 3222; Ruby: 1261; C: 1070,Python
